gene_name	MMRF_1879_1_BM_CD138pos_T2_TSMRU_L05344	MMRF_2453_1_BM_CD138pos_T2_TSMRU_L10609
UQCR10	29.9829	53.2158
FAM120C	1.0133	0.2812
CTD-2372A4.1	0.15	0
BRD7P2	0.0352	0.0454
TREML3P	0.0933	0
TRIML1	0	0
EIF3C	1.2705	1.7874
RP11-366I13.3	0.0523	0
CLDN5	0.0133	0.0322
RP13-1039J1.2	0	0
NIPSNAP1	13.5538	14.0221
RPL7AP28	0	0.0387
OR4F6	0	0
CNTN2	0.0023	0.0132
SPRR4	0	0
LRTOMT	3.4516	1.8659
OR10J5	0	0
KCNQ3	0.0073	0.0566
ADRA2C	0	0
NR2C2AP	7.6518	9.185
FAM132A	0.6864	0.3694
CRELD2	69.8302	23.0206
OR1D2	0	0
SCFD2	6.2574	7.7188
UBE2F	4.2829	6.098
KCNJ12	0	0
CTC-512J14.7	0.145	0
GPR173	1.2569	0.024
PPP1R2	41.0817	31.1115
TSPYL2	137.9279	13.4146
GOLGA6L4	0.0602	0.0692
PGP	6.355	6.3098
C22orf46	8.4961	5.0579
SNRNP35	2.8393	3.7817
DGAT2L6	0.0587	0.0284
IRAK1	77.1741	86.0014
CMSS1	4.9674	7.8589
OLIG1	1.1817	0
C11orf72	0.0094	0.0272
PCDH9	0.0472	2.1322
ACOT1	0.9851	1.6634
OAF	20.2397	24.3277
ALDH1A3	0.1067	0.2066
CDR1	0.0092	0
HIST2H2AC	10.2905	5.7203
KCNK12	1.6271	0.3833
HIST2H2AB	3.4233	2.3606
POU6F1	9.7104	3.885
LINC00315	0.0393	0.019
DEFB108B	0	0.0332
TM2D3	4.6491	3.4709
TSSC4	16.7398	24.5721
TACSTD2	0	0.0188
CLECL1	42.5981	5.429
SIX6	0	0
DRD5P1	0	0
PRKD1	0.0176	0.0341
CCSER1	1.4935	0.0847
ZDHHC23	3.3862	7.4453
MROH7	0.0025	0.0049
RPL23AP82	0.7029	1.2681
OR51J1	0	0
S100A7A	0	0
SRPK3	0.5143	0.0698
GDF3	0.0184	0.0178
IQCF2	0	0
SLIT3	0.1071	0.0201
EFNA5	0.004	2.7615
MRGPRE	0	0
KRTAP19-1	0	0
HIST1H1B	0.1005	0.3892
SPATA32	0.621	0.1703
PKP3	0.006	0.0175
MAP7D2	0.0469	0.0858
CSF1	0.6944	1.9528
COLEC10	0	0.1984
ACTRT3	0.0455	1.0245
PLA2G6	7.0453	1.6931
MAML2	8.497	2.7746
UMODL1-AS1	0.213	0.4127
PABPC1L2B	0	0
A3GALT2	0.156	0.108
OR4N5	0	0
SS18L1	6.2938	8.8327
KCND2	0.0123	0.0239
RP11-44M6.3	0.0227	0.1317
AC090043.1	0	0
TOP1MT	5.144	6.2688
COPB2	30.5247	30.2245
LRRC19	0.0442	0.0796
THAP7	22.8504	15.4058
AP001062.7	2.7129	1.4712
KNTC1	11.9984	21.3667
CCR10	1.8023	0.8434
NCMAP	0.0166	0.0482
BPIFC	0.0205	0.0595
WDR27	5.3824	4.7976
TXNRD2	5.4384	2.3885
C1QTNF8	0	0
OR56A3	0	0
FOXO4	12.6484	8.4073
POU3F2	0.0047	0.009
PTP4A3	0.6024	270.9022
FOXD4L1	0.0915	0.337
TMEM255B	0.0156	0.2728
PROS1	0.1081	0.4838
GAST	0	0
NUTM1	0.0217	0.0158
HDDC3	6.8864	7.3317
BEX5	8.0014	2.4104
ZFP1	0.6487	0.5051
PTGER4P2	0.2715	0.4383
CEND1	0.0691	0.2009
C6orf58	0.0745	0.0144
DHRS7C	0	0
DUSP8	0.1531	0.7896
SOCS3	1.0259	11.6743
C17orf74	0	0
SLITRK6	0	0.0051
RP13-786C16.1	0.0197	0
PIWIL3	0	0
LPAR5	0.133	0.522
XPOT	49.4981	37.5537
TMEM173	20.4811	1.7556
PDE4B	113.9168	25.2467
FAM19A3	0	0.0345
C14orf180	0	0
SNN	25.4673	8.3898
FAM167A-AS1	0.0239	0
KCNH7	0.0092	0.0044
RPL7P26	0.3629	0.0586
NELL2	0	0.0138
AC004166.6	0.7985	0.6589
ZNF840P	0.0228	0.0111
KRBA2	0.302	0.1186
ZNF72P	0	0
MED12	14.6276	7.7079
ZNF93	0.3499	0.366
Sep-09	24.7096	5.3191
PRSS55	0.0145	0
ODF4	0	0
FOXD4L4	0	0.0396
CDCA2	0.2684	0.7291
OR7E14P	0.0499	2.1927
RALYL	0	0.3212
AMER1	1.7744	1.1851
ZBTB40	26.7538	7.7452
HIST2H2BE	24.2962	10.8194
PRR33	4.7473	1.9376
CLDN6	0	0
OR51M1	0	0
Sep-05	3.4625	0.1195
EIF4ENIF1	10.1346	7.0578
LRRC26	0.0189	0.0183
SERINC4	0	0
RNLS	3.4787	1.6006
KRTAP6-1	0	0
APOBR	0.2165	1.8407
FAM110C	2.632	0
DDX53	0	0.0061
OR5AQ1P	0	0
ATL3	10.1623	10.832
NDUFA12	12.9405	18.267
AC013269.5	0	0
MGAT4EP	0.0081	0.0314
SMIM10	0	0.2013
TCTE3	1.5804	1.0262
UBE2G2	24.6455	44.6759
SATL1	0	0
OR4C10P	0	0
OSBP2	0.6603	0.7121
UNC93B5	0.0652	0.5372
B3GALT5-AS1	0	0
TUSC5	0	0.0123
PRR23B	0	0
ZBTB7C	0.0447	0.1011
APOO	5.7704	10.4659
PRR16	0.0301	0.0097
TMED9	152.4148	183.1337
CYCSP45	0.1448	0.4207
DRD1	0	0.0054
LINC00308	0	0
TMEM186	2.8475	5.9632
SDR42E1	1.679	0.0983
RBM33	12.7142	18.0414
ARMCX2	9.1809	8.8439
OR51B2	0	0
BTBD6	12.2213	10.8225
SRY	0	0
H1FX	418.6983	201.1838
RBM43	4.723	1.2316
SUMO3	34.8971	20.9807
IMMP2L	4.2049	7.3887
TCEAL2	2.6827	0.0663
AC129778.2	0.0063	0.0306
CLCNKB	0	0.0075
DMRTC1B	0.1073	0
JAG2	0.0856	0.0622
FMNL1	20.1211	17.9628
NUTM2A	0.2199	0.0652
PTRHD1	2.8905	6.0377
LCN12	4.9424	0.5798
OR6A2	0	0.0382
WT1	0	0
ZFP90	1.9471	1.2469
AQP12A	0	0
FAM227A	0.0085	0.0307
OR6C70	0	0
MUC6	0.0785	0.0681
AL772307.1	0	0.076
NOC4L	11.6318	10.44
USP18	4.4877	2.5834
NDUFA6	19.0507	35.8467
CHRM5	0.1803	0.1823
SORCS2	0.0072	0.0105
TMEM121	0.0359	0.058
TMEM106A	4.3923	6.3233
SIVA1	15.6507	10.0082
TTTY13	0.519	0
BRI3BP	1.5469	3.811
IFNE	0	0
SLC22A10	0	0
DGAT1	14.2414	11.3195
RFX6	0	0
ROBO2	0.0027	0.0066
AP3M1	9.4112	11.4589
F8	0.4153	0.3149
NT5C1B	0.4289	0.133
CA13	0.7714	1.3865
UBOX5	3.1572	1.4219
MAFF	1.2833	3.0094
BRF1	1.6283	1.0586
LRRC14B	0.116	2.9769
SLC2A3P2	0.1079	0.0448
SEMA4B	7.3167	12.712
ZNF733P	0	0
MROH2A	0.008	0.1503
AC004980.11	0.08	0.0258
RP11-321E2.6	0	0
CIB1	35.447	86.4789
ANKS1B	0.0124	0.006
NELFA	4.2148	5.1918
SLC24A3	0.487	0.0056
SGCZ	0	0
EFCAB10	0.4157	0.5998
C5orf47	0.0165	0.0641
AC000068.5	1.033	1.2535
KRT76	0	0
FLRT2	0.0013	0.0127
OR7E31P	0	0
AC093698.1	0	0.0774
INTS5	13.0778	20.609
FAM169B	0	0
RPS27L	15.4226	26.9551
MANEAL	3.2867	1.6028
ADSSL1	0.2488	0.2639
ANO9	10.0513	7.0496
FAF1	5.9448	8.5718
MYADML2	0.102	0.2786
FAM43A	2.8252	0.31
NDNL2	48.373	50.9963
HSF1	17.4964	20.3277
C6orf120	23.0166	15.4295
PURA	4.0628	4.3016
HIST1H2BL	0.0935	0.1358
INPP5J	0.1608	0.1878
NPY2R	0	0
MIXL1	28.9391	23.46
MFSD6L	0	0.0101
LRRC37B	1.5684	1.6247
DDX51	10.1063	10.4386
NOMO2	9.8675	9.0451
LINC00482	0.0104	0.0101
AQP12B	0	0
ZNF479	0	0
GOLGA8DP	0	0
LINC00313	0.0198	0.0192
SIGIRR	3.3265	9.3067
NRBP2	8.5488	6.3834
PRSS57	0	0.0405
IFITM2	24.8275	46.8822
WASIR1	0	0.021
TNFAIP2	10.6011	6.1798
ZNF445	4.008	3.2272
PGBD2	4.6905	3.152
GAPDHP24	0	0
WBP5	5.9088	16.8484
MC2R	0	0
RAB11B	51.3757	51.1429
PRMT3	1.5975	5.7817
GP1BA	0.4012	0.5741
PRPF39	17.8003	14.9047
MAGEA11	0	0
PPIL6	0.1476	0.2958
ZNF74	1.5868	3.0883
KIAA0825	0.2781	0.0763
UBALD2	49.0065	126.4946
TEX33	0	0
CDNF	8.8422	2.256
NOTUM	0.0227	0.0585
KLHL33	0	0
RBM11	1.6909	0.5522
WBSCR17	0	0
CD24P4	0	0
ZBTB37	1.2055	0.4244
NUPR1L	0	0
IL3RA	3.1204	2.8676
SPPL2C	0	0
CTD-2139B15.1	0	0.1142
CCDC137	6.7286	8.4211
SFTPA2	0.034	0.0576
RGPD2	0.0228	0.1169
ARL15	2.3842	3.3042
C12orf56	0.0041	0
SCN10A	0	0.0379
SSXP4	0	0
CDK10	5.997	4.5113
TMEM105	0.0781	0
SOCS1	3.1273	0.7032
TCN2	18.625	6.6081
GAS2L1	0.1832	0.5422
ATP6V0A2	3.7836	2.4809
PARK2	0.2607	0.3291
C14orf80	2.4342	1.7643
HS6ST3	0.1285	0.0085
HGS	11.1417	9.674
TNFAIP8L1	2.5139	5.0094
OR2V1	0	0
RAD51D	1.7832	1.5007
OR7A17	0	0
MAPK11	6.0909	4.8729
FGF7P2	0.1541	0
SP140L	15.5746	7.2207
MRPL30	4.7526	9.9237
TARSL2	11.7198	12.4223
SMYD3	0.7849	1.7204
METTL7A	78.5842	81.6721
LINC00158	0.0112	0
IFNLR1	9.1341	3.2843
SH3BGR	0.7169	4.0187
FAM174B	0.5778	1.1573
FAM47A	0	0.0086
C19orf68	6.0488	4.599
KPNA7	0	0
TMEM179B	25.9276	46.2732
GPRIN3	9.0897	1.5486
KRT6B	0	0
PARPBP	0.716	1.6293
STAC3	1.9365	1.1381
ROR1	0.0034	0.0658
SDHAP1	5.325	4.6904
RP11-504P24.3	7.4507	5.1704
MUC1	0.1209	0.7492
C17orf70	13.3861	10.2892
IRF7	34.239	51.7411
L3MBTL1	2.9246	1.492
BRCC3	7.6965	7.0249
SV2B	0	0.1791
FAM131C	0.0134	0.013
LMNTD2	5.1917	5.0817
SPATA45	0.1803	0
PDE6G	0.3601	0.8512
PRKG1	0.0638	5.3264
NR2F2	0.2401	0.2018
DLK1	0.0086	0.0125
TLCD2	0.0649	0.0851
LSAMP	0.0375	10.0819
AHNAK2	0.0012	0.073
OLFML2A	0.0034	0.1015
SP1	21.051	8.4085
SPATA8	0	0.0296
WASH3P	3.7051	2.2924
ACTBP7	0.1623	0.2751
MRPL40	18.7529	24.6625
DBX2	0	0
FAM212A	0.5701	0.892
PDIA2	0.0203	0.226
PCGF3	11.1941	11.9173
LMLN	1.3852	0.7802
P4HB	178.5616	215.5057
PSMD13	26.0891	31.6057
PBX1	0.0107	0.0125
AC017079.3	0.3846	0.0532
NDUFA4L2	5.3472	2.149
SHC4	0.0827	0.0838
FTH1P14	0	0.0401
KRT79	0.009	0.0869
CTD-2287O16.1	12.8992	9.238
ZFP36L1	5.1881	13.3857
UBE2L3	11.0747	14.2037
NTF3	0	0
BRWD1	6.798	4.775
SMIM23	0.3411	0.9439
PMEL	0.3858	1.3759
SYN3	0.0126	0.0203
POU3F1	0.0922	0.0298
SNAI3	2.067	2.9715
ZBTB3	0.7356	1.689
LYG2	0.416	0.348
MORN5	0	0.1527
EP400NL	3.6619	3.7533
PRAME	0.1148	7.8465
C6orf201	0.6046	0.1863
MYBL1	0.1229	0.3692
TTTY8B	0	0
OR5M5P	0	0
SMG1P4	0.1051	0.007
C16orf52	4.9874	3.976
DRG1	14.7738	18.8163
ANKFY1	5.9543	3.8655
YTHDF3	11.4699	11.1176
ZNF696	1.9495	2.516
ADARB2	0.0065	0
NRG3	25.6622	5.2695
SRL	0.012	0.0155
C11orf87	0	0.015
IFIT1	0.9639	0.9624
CXorf38	3.7244	2.7231
CLDN24	0	0
KCNQ5	4.907	4.4498
ADAMTSL5	0.7486	2.1631
KCNIP4	0.4406	0.3788
SPATA31A6	0	0
MORF4L1	29.7227	30.5123
NLRP9	0.1331	0.2087
WDR53	5.0631	5.7403
DMWD	6.8594	7.3589
SLC52A2	14.2382	23.1452
PIGP	3.5774	4.416
IKZF1	25.6113	14.8437
PCYT2	3.3393	3.3948
NAT8L	0.0505	0.0226
OR6C76	0	0
NPAP1	0	0
BCAP31	53.5485	55.0187
ARL17A	0.5363	0.313
RPL12P4	5.1846	7.7776
CECR5-AS1	0.0723	0
GNB1L	0.9072	2.3896
RP4-592A1.2	0.2974	0.3521
DNAH14	0.0278	0.0101
LINC01405	0.015	0.029
C1orf110	0.0053	0.0051
EVI2B	188.1127	146.7721
TMEM210	0	0.0388
NPIPB4	1.3641	1.1594
ZNF829	0.5213	0.1797
TMPRSS11B	0	0.0065
THNSL1	0.9571	2.9972
TRIM69	10.7431	16.0352
ATP6V0C	19.7321	14.8299
IFITM1	122.3121	228.6344
PRSS38	0	0.0174
BPY2C	0	0
LAMP1	15.8416	19.6982
FFAR3	0	0.0357
TAS2R60	0	0
POMK	2.2961	1.6475
OR11N1P	0	0
LINC00839	0	0.0095
C16orf54	169.888	11.3048
KLHDC8B	1.7541	2.8352
KLHL34	0.0063	0.0061
SETD4	4.0604	3.3954
PTCH1	0.7119	3.2578
RTN4RL1	0	0.0244
OR4C46	0	0
CALHM1	0.0075	0.0434
KRTAP5-5	0	0
NKAIN3	0	0
RNPC3	8.3116	8.3213
ZNF267	1.7571	1.6532
IRS2	1.1264	0.2958
C7orf61	0.1149	0.0927
FAM186A	0.0467	0.0213
SHOX	0.0104	0
LCE3A	0	0
BICD2	6.9647	13.5513
LCE3E	0	0
CCIN	0.0117	0.0114
TMLHE	1.8838	2.4273
GRK1	0.0046	0.0224
DEFB128	0	0
SLITRK2	0	0.0084
SDHAP3	8.2814	4.8395
PLK5	0.0097	0.0657
RASA3	8.2297	22.9323
LRCH3	4.0486	3.0828
LEMD1	0.197	0.0201
RPS4XP21	0	0.0295
ATP4B	0	0.0148
NDUFA13	6.147	11.8272
ZNF566	1.0344	1.0668
AC084219.4	0.0327	0.0317
ZNF529	2.1093	0.9351
ZNF284	0.2987	0.1625
HTR3E	0	0
DLEU7	0.0125	0.1208
KRT73	0	0.0083
TAL2	0.3476	0.3704
MATN1-AS1	9.6334	1.9432
AIDA	9.1438	7.9386
C15orf41	0.653	0.8066
CD300LF	0.3693	1.6047
ZPBP2	4.9481	0.4812
RP11-887P2.3	0.3577	0.7796
KRT5	0.0053	0.0154
KRT18P14	0	0.0177
NBPF6	0.619	0.2548
GSAP	6.3208	5.0356
HTR3D	0	0.0107
OR4F5	0	0
AGBL4	0.0183	0.0651
ARGFX	0.3678	0.1559
CYP2R1	9.5837	16.8841
LRRC70	0.3751	0.0786
ANKRD46	3.1814	5.5638
PIP5K1C	7.8315	9.4834
OR5D14	0	0
CYP4F2	0	0
OR5L1	0	0
TEX38	0.199	0.1186
OR5D18	0	0
OR9M1P	0	0
ZBTB6	2.5546	3.9163
C2orf76	3.1376	11.6434
TAS2R42	0.0724	0.0467
POLR3C	10.9238	11.2379
PRR30	0.0114	0
DEFB131	0	0
AC013271.3	0	0
UBL4B	0	0
LILRP1	0	0
WWOX	1.8621	0.9448
CYP4Z1	0	0
CIDECP	2.8948	3.0749
TRY2P	0	0
CCDC84	12.8732	7.1738
BCL9L	0.7252	0.1603
POLR1D	9.9587	21.4214
KIF18B	0.3282	1.955
ZNRF1	0.0362	0.0976
FFAR4	0.0112	0.0381
BPIFB3	0	0.0152
BPIFB4	0	0
SAPCD2	1.2148	9.5632
EDARADD	0.0061	0.0178
SLC51B	0	0.2115
CYP4F12	0.0128	0.0124
Mar-01	1.2956	0.1193
LCE5A	0	0
SOWAHB	0.956	0.096
BLOC1S4	10.0688	9.2752
SSU72P4	0	0
LCE1E	0	0
ZNF749	1.436	2.4453
KLHL32	0.8349	0.857
SSU72P3	0	0
FAM86MP	0.0258	0.025
AC016757.3	0.6513	0.0532
RP11-1079K10.1	0	0
MKL2	1.7042	0.4344
BTLA	11.3984	25.7209
OR10D4P	0	0
ZNF17	2.2912	2.8359
KDM4D	0.6509	0.2373
GPAT2	0.1083	0.1205
TOR3A	31.7447	132.7159
PABPC1L2A	0	0
GABRA5	0	0
PPP1CC	32.8935	34.9044
ZNF555	1.0739	1.4843
MST1P2	3.2249	3.5094
OR10T2	0	0
NAP1L3	0.2938	0.0084
CA5BP1	3.6443	3.3926
PRELID2	0.8951	1.015
BACE1	1.8268	1.6344
RGS9BP	0.0079	0.1145
RP11-140K17.2	0	0
TMEM212	0	0
SLC36A3	0.0399	0.0338
SLC36A2	0.0107	0.0311
THBS2	0.0036	0.4834
RXRA	3.5088	4.0361
ANKRD37	5.8686	7.808
C9orf47	0.0045	0.0394
NUDT17	5.078	5.6654
KIAA1024L	0	0.122
LINC00643	0.0148	0.0762
ZNF75D	8.2062	5.7237
CYP4X1	0.0089	0.052
KRT26	0	0
KRT10	19.6788	22.8995
GOLGA8R	0.1235	0.2442
OR10X1	0	0
CD300E	0.0669	0.3885
CCDC30	0.228	0.2077
NKRF	2.4261	3.3099
GLDN	0.0287	0.0958
FCAR	0.0289	0.5695
KPNA4	6.8823	5.5802
TRDN	0.0238	0.0099
OR6P1	0	0
KRT3	0	0
ZNF501	0.4549	1.3106
ZNF197	3.8415	4.1324
SPATA12	0	0.0824
TMPRSS12	0.0068	0
FAM228A	0.0403	0.0293
DEFB132	0	0
NAP1L2	5.732	0.2512
AQP7P1	0	0.2114
RPS23	251.2764	322.2612
GNG2	0.9366	0.419
BTN3A2	40.3697	11.9318
AKAP14	0.0585	0
PCLO	0.2014	0.056
KLK12	0.0129	0.0125
RGS7BP	0	0
INSIG1	12.2448	15.9157
ANKRD20A5P	15.2077	6.6846
MYT1L	0.0017	0
C5orf38	0	0
ZNF396	0.3052	0.2956
TMEM222	10.0616	8.4188
OR9I2P	0	0
OR9Q1	0	0.0178
CLCNKA	0.0131	0.0064
OR9Q2	0	0
ARHGAP30	26.9591	21.1854
Sep-10	28.93	14.3085
FAM86B1	0.1185	0.0209
CYP4F8	0.0032	0
CYP4F3	0.0272	0.0528
SMYD4	3.0619	2.4673
CROCCP5	0	0
DEFB105A	0	0
FOXD2	0.0927	0.0992
GPATCH8	13.2828	6.6812
CEACAM19	0.0044	0.0212
DEFB107A	0	0
NF2	5.0313	6.189
C6orf1	6.936	7.997
DEFB106A	0	0
SPATC1	0.6931	0.1211
UBE2H	22.8778	43.7481
MIR22HG	9.0723	5.0376
DEFB105B	0	0
HPDL	0.6439	5.3289
KTN1-AS1	1.2052	1.8064
KATNA1	4.9301	4.7756
FSD2	0.1779	0.0811
ARAP1	24.636	28.3494
KIF24	0.2344	0.965
PDE2A	0.1016	0.2553
AC114737.6	0	0.0846
LRRC16B	2.3778	7.9935
PRG2	0.1241	2.728
PRR5	2.6945	7.1523
ZFP91	22.9645	19.469
C17orf58	3.6703	6.1651
BCDIN3D	2.3287	1.8165
MAGEE2	0.0507	0
EEF1GP1	0.1404	0.17
RP11-266I3.7	0	0
CYP27C1	0	0
LYRM7	2.6497	6.7924
DTX2P1	1.4522	2.7458
CCDC42B	0.8984	0.4991
CCDC73	0.1303	0.1122
MST1L	1.0389	0.2303
BCR	10.6643	7.0478
OR10H1	0	0
MPPED1	0	0
TPI1P3	0.0924	0.0895
FSCN2	2.9026	0.6892
FOXI2	0	0
SPIN4	1.8776	2.7523
ZNF732	0.0416	0.0302
SPIN2B	2.4377	4.6628
SPATA31D3	0	0
FOXE3	0.0115	0
HYAL3	0.2128	3.2981
KCNK18	0	0
IFNA10	0	0
VSIG10L	0.2419	0.164
CXCR3	11.9752	0.1655
ZNF397	5.7832	5.2545
ZSCAN30	3.4816	1.9772
TPCN1	16.2113	10.829
LILRB4	0.2162	4.4191
C2orf27B	0	0.0167
TNFRSF4	10.8251	1.707
KRT17P2	0	0
KRT16	0	0
HEXIM1	17.1402	10.2097
SELV	0	0
LINC00846	0.0385	0.0124
LCE1A	0	0
KRT14	0.01	0.0097
TRABD2A	8.9641	3.0673
KRTAP17-1	0	0
PDZD7	0.0627	0.0835
POFUT2	9.2464	18.7988
QRFPR	0	0
MAPT	0.0596	0.0962
ERCC6L	0.3083	0.1215
OR13F1	0	0
OR5D3P	0.0219	0.0212
TMEM17	1.04	0.4963
TNFRSF18	15.3795	2.2572
FGF3	0	0.0248
C1QL4	0	0
RTN4RL2	0.1433	0.2313
ZDHHC17	12.1892	4.2746
SERPINA11	0	0
P2RY4	0.1144	0.0969
ZNF395	19.6797	6.7605
ZACN	0.7571	0.159
KRTAP22-1	0	0
KRTAP19-6	0	0
KRTAP6-2	0	0
CHCHD2P9	0.5001	1.211
OR13C8	0	0
PPARA	7.8712	5.1064
TMEM232	0.1264	0.0554
LINC01551	0	0.0239
KRTAP19-2	0	0
KRTAP19-4	0	0
KRTAP15-1	0	0
KRTAP13-4	0	0
FAM183A	0	0
EFCAB6	0.2025	0.0284
KRTAP19-5	0	0
KRTAP23-1	0	0
KANK3	0.0634	0.1045
EMID1	0.0047	0.0857
ACTL7A	0.0458	0.0739
KRTAP21-1	0.0761	0
RHD	0.4887	0.8334
LINC00207	0	0
C17orf82	0.0149	0.0144
ESPN	0	0.0375
PNLIPRP1	0	0.0044
PTRH1	0.0634	0.0614
KRTAP21-2	0.0518	0
SAMD7	0.2723	1.7674
GPR141	0.0592	0.0287
TMPRSS6	0	0.0595
CYP4A11	0	0
TMEM216	5.6814	11.7543
RPS19BP1	13.8466	19.8225
TMPRSS11A	0.0057	0
TMEM262	2.1694	1.9908
C3orf70	1.7312	21.029
TEAD1	0.0132	3.1305
OR2AK2	0	0
DEFB106B	0	0
PLCD1	10.4236	2.642
CCK	0	0.0106
ENTPD5	1.4127	3.4434
MITF	0.1173	0.433
FUNDC2P3	0.0428	0
HEATR4	0.5905	0.1312
NAP1L1	25.5345	22.2194
LILRA5	0.0907	1.1044
CMC1	1.3722	1.4004
SLIT1	0.6463	1.6355
LYPD6	0.4395	0.0176
AKR1C1	0.0052	0.095
VSTM2B	0	0
FOXD3	0	0
SPATA21	0.0253	0.0196
RNF220	8.9639	7.5931
ANGPTL5	0.2022	0.0187
KIAA1598	0.1576	0.8115
H1FNT	0.0702	0.068
LCE4A	0	0
BAGE2	0	0.0108
LCE2A	0	0
KRTAP12-1	0	0
LCE2C	0	0
CTD-2600O9.1	0	0.0209
RP11-195F19.5	1.1569	0.7351
ZNF546	2.0557	2.2807
TSPYL4	10.5559	3.0702
DAZ3	0	0
MT1X	1.0546	4.6469
GCNT1	0.3987	6.2304
LCE2D	0	0
RP11-161I2.1	0	0
SESTD1	1.2779	0.1576
LCE3B	0	0
FNBP1	27.1838	1.9344
DYNC2H1	0.3991	0.0526
KRT12	0	0
MAGED4B	0.0784	0.0223
BCAM	0.2406	0.1407
RSBN1L	9.0693	7.421
NPSR1	0.0171	0
WDR86	0.1353	0.3332
EPOR	3.4438	2.518
FAM9C	0.0039	0
KRTAP9-8	0	0
CIDEC	0.0592	0
DCC	0.0225	0.2585
TAF9B	12.1653	5.5003
PCDHB13	0.2208	0.275
MAGI2	1.5234	8.059
LUZP2	0.0077	0.0125
LHFPL3	0.156	0.0116
CHP1	13.8722	29.425
RP11-67P15.1	0.4131	0.08
FPR3	0.9213	3.1077
HIST1H1T	0	0.0615
C11orf96	0.3267	5.1102
HSD3BP1	0	0
SERPINA13P	0	0
KCNJ11	0.0569	17.7796
CDHR4	0.0072	0.0698
COL4A1	0.0195	0.5152
RPL7P48	0.2445	0.0296
PLEKHG7	6.1656	0.5028
GJA4	0	0.0515
PTMA	264.4675	259.5931
HYPM	0	0
HSPA14	5.5706	5.8132
ATP13A5	0.0037	0
SIRT7	6.3086	4.9907
PRR27	0	0
PRR13P5	0.877	0.6996
IFT140	2.5181	2.1309
TPM3P7	0.0623	0.0302
POTEM	0	0.0088
PRAMEF10	0	0
AGMO	0.0064	0.0185
SBK2	0	0
CYP26C1	0	0.0253
TLR5	0.1089	0.3787
USP7	34.2	18.8148
NANOS3	0.0692	0.0447
FOXD4L3	0	0.0433
NHLRC1	0.0768	0.0744
DPPA3	0	0
COX8C	0	0.0414
PLEKHN1	8.2985	4.4052
TERF1P2	0	0
ZNF385C	0.129	0.0775
TMEM247	0	0
MAGEH1	33.0657	48.6184
TET3	1.5442	2.3023
ZNF286A	0.6989	0.2257
ISG15	16.267	23.589
EXD3	2.437	2.3925
OR5W2	0	0
TMEM8C	0	0.0219
TCL6	1.1158	0.0272
C17orf97	0.3113	0.2201
ZKSCAN4	2.1603	2.5669
RGPD1	0.0332	0.0418
DHRS4L2	4.0694	4.5476
SAMD11	0.0071	0.3299
PERM1	1.3852	0.9289
VMAC	14.922	11.6223
TMSB4XP8	17.9045	1.7998
TSPY13P	0	0
C5orf52	0.0997	0.2576
HAPLN4	0	0
ERC2	0.0747	0.039
B3GALTL	5.5384	1.6835
SPRY4	0	0.0708
ERAS	0.018	0.0174
KRT18P59	0.041	0.0199
TRPV2	4.6274	14.8853
AMTN	0	0.0213
CXorf67	0.0236	0
RP11-723O4.6	0.3196	0.1093
C2orf88	21.3732	24.6113
OR2T27	0	0
TMEM203	16.066	21.989
SLC18A3	0	0
KBTBD12	0	0.0038
THSD4	0.0043	0.0014
GTF2IP3	0	0
DNAJB13	2.1392	0.9789
GABRD	0	0
AMY1C	0.0279	0
TCEA1	43.3052	31.6208
NHEJ1	0.2934	0.4476
FANCA	1.3865	0.9869
SECISBP2	22.8494	23.4591
OR52B6	0	0
C9orf153	0.1416	0.0915
SSX7	0	0.0168
ADH1A	0.0909	0.0098
HSPE1P11	0.2207	0.2138
OR2B7P	0	0
SEMA4D	5.4447	6.3285
KRTAP10-8	0	0
LIN28B	0	0.012
FAM69C	0.0119	0.0287
DNAH17	0.2095	0.2441
MCRS1	18.9245	14.7503
TMEM72	0.0072	0
FANCM	1.4541	0.746
FAM205CP	0.0052	0
ZNF70	4.6798	1.2952
CARD9	0.2859	0.7946
PEAR1	0.0536	0.7869
ZFP69B	2.3892	5.4434
TMEM202	0	0.0218
SOWAHD	0.2351	0.3985
RP11-24M17.5	0	0
ZFP69	2.1132	3.1215
HELT	0	0
ZCCHC16	0	0
TMEM220	6.6563	1.5175
C2orf78	0	0
HIST1H1C	54.8406	299.7059
TMEM256-PLSCR3	0.4264	0.5768
EIF4EBP1	11.6671	19.968
OR7E25P	0	0
P2RX2	1.3666	0.1907
ASCL4	0	0
OR6C75	0	0
CCDC157	0.7271	0.2884
TTC24	0.0242	0.0234
FAM122A	8.9529	10.0741
PALM3	0.045	0.0087
RNFT1P3	0.3035	7.7267
GFRAL	0	0
C1orf168	0	0.0095
CXXC1P1	0.0072	0.007
OR5H7P	0	0
SHISA7	0.0037	0.0036
AC097382.5	0.3858	0.3364
LRRC74B	0	0.012
DMBT1	0	0
CLEC17A	0.0102	0
OR51I2	0.0243	0
LCN10	0	0
LDLRAD2	0.2031	5.6623
C2orf66	0.0137	0
OVCH1	0.0058	0
ARHGAP11B	1.018	2.4147
HS6ST1P1	0.0739	0.1611
PMS2CL	3.5506	5.9563
CYHR1	8.5787	9.6392
COL14A1	0.3085	0.1839
DNER	0	0.0112
CPSF4L	0.0448	0.0145
KLHL17	10.6055	5.6864
